cross,reference,chr,start,end,crossovers,scrossovers,gene,mRNA,exon,CDS
lycopersicum_pimpinellifolium,lycopersicum,chr1,0,100000,0,0.0,15,15,84,81
lycopersicum_pimpinellifolium,lycopersicum,chr1,100000,200000,0,0.0,12,12,49,44
lycopersicum_pimpinellifolium,lycopersicum,chr1,200000,300000,1,0.1,16,16,105,104
lycopersicum_pimpinellifolium,lycopersicum,chr1,300000,400000,1,0.19,15,15,67,63
lycopersicum_pimpinellifolium,lycopersicum,chr1,400000,500000,1,0.271,17,17,70,64
lycopersicum_pimpinellifolium,lycopersicum,chr1,500000,600000,0,0.2439,20,20,59,53
lycopersicum_pimpinellifolium,lycopersicum,chr1,600000,700000,0,0.21951,13,13,64,62
lycopersicum_pimpinellifolium,lycopersicum,chr1,700000,800000,0,0.197559,10,10,84,75
lycopersicum_pimpinellifolium,lycopersicum,chr1,800000,900000,0,0.1778031,16,16,79,69
lycopersicum_pimpinellifolium,lycopersicum,chr1,900000,1000000,1,0.26002279,7,7,96,94
lycopersicum_pimpinellifolium,lycopersicum,chr1,1000000,1100000,0,0.234020511,12,12,77,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,1100000,1200000,2,0.4106184599,7,7,34,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,1200000,1300000,1,0.46955661391,14,14,76,71
lycopersicum_pimpinellifolium,lycopersicum,chr1,1300000,1400000,0,0.422600952519,11,11,70,58
lycopersicum_pimpinellifolium,lycopersicum,chr1,1400000,1500000,0,0.3803408572671,11,11,70,65
lycopersicum_pimpinellifolium,lycopersicum,chr1,1500000,1600000,1,0.44230677154039,13,13,74,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,1600000,1700000,1,0.498076094386351,9,9,55,51
lycopersicum_pimpinellifolium,lycopersicum,chr1,1700000,1800000,2,0.6482684849477159,7,7,37,33
lycopersicum_pimpinellifolium,lycopersicum,chr1,1800000,1900000,3,0.8834416364529444,13,13,66,65
lycopersicum_pimpinellifolium,lycopersicum,chr1,1900000,2000000,1,0.89509747280765,8,8,24,23
lycopersicum_pimpinellifolium,lycopersicum,chr1,2000000,2100000,1,0.9055877255268848,8,8,62,62
lycopersicum_pimpinellifolium,lycopersicum,chr1,2100000,2200000,0,0.8150289529741964,17,17,89,84
lycopersicum_pimpinellifolium,lycopersicum,chr1,2200000,2300000,0,0.7335260576767768,9,9,42,41
lycopersicum_pimpinellifolium,lycopersicum,chr1,2300000,2400000,0,0.6601734519090992,11,11,79,74
lycopersicum_pimpinellifolium,lycopersicum,chr1,2400000,2500000,1,0.6941561067181893,12,12,80,75
lycopersicum_pimpinellifolium,lycopersicum,chr1,2500000,2600000,1,0.7247404960463704,17,17,62,55
lycopersicum_pimpinellifolium,lycopersicum,chr1,2600000,2700000,1,0.7522664464417333,14,14,58,57
lycopersicum_pimpinellifolium,lycopersicum,chr1,2700000,2800000,1,0.77703980179756,11,11,84,78
lycopersicum_pimpinellifolium,lycopersicum,chr1,2800000,2900000,0,0.699335821617804,11,11,73,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,2900000,3000000,1,0.7294022394560237,12,12,76,74
lycopersicum_pimpinellifolium,lycopersicum,chr1,3000000,3100000,2,0.8564620155104212,6,6,48,47
lycopersicum_pimpinellifolium,lycopersicum,chr1,3100000,3200000,1,0.8708158139593791,11,11,37,37
lycopersicum_pimpinellifolium,lycopersicum,chr1,3200000,3300000,0,0.7837342325634412,8,8,70,70
lycopersicum_pimpinellifolium,lycopersicum,chr1,3300000,3400000,0,0.7053608093070971,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,3400000,3500000,1,0.7348247283763873,6,6,23,23
lycopersicum_pimpinellifolium,lycopersicum,chr1,3500000,3600000,1,0.7613422555387486,7,7,44,44
lycopersicum_pimpinellifolium,lycopersicum,chr1,3600000,3700000,2,0.8852080299848737,8,8,41,38
lycopersicum_pimpinellifolium,lycopersicum,chr1,3700000,3800000,1,0.8966872269863864,10,10,35,34
lycopersicum_pimpinellifolium,lycopersicum,chr1,3800000,3900000,0,0.8070185042877478,7,7,40,39
lycopersicum_pimpinellifolium,lycopersicum,chr1,3900000,4000000,0,0.726316653858973,5,5,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,4000000,4100000,0,0.6536849884730758,5,5,39,37
lycopersicum_pimpinellifolium,lycopersicum,chr1,4100000,4200000,0,0.5883164896257682,2,2,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,4200000,4300000,0,0.5294848406631915,4,4,20,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,4300000,4400000,1,0.5765363565968723,4,4,20,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,4400000,4500000,0,0.5188827209371851,5,5,12,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,4500000,4600000,1,0.5669944488434666,6,6,41,41
lycopersicum_pimpinellifolium,lycopersicum,chr1,4600000,4700000,0,0.51029500395912,5,5,24,24
lycopersicum_pimpinellifolium,lycopersicum,chr1,4700000,4800000,0,0.459265503563208,5,5,14,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,4800000,4900000,0,0.4133389532068872,5,5,32,29
lycopersicum_pimpinellifolium,lycopersicum,chr1,4900000,5000000,0,0.3720050578861985,6,6,21,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,5000000,5100000,0,0.3348045520975786,9,9,23,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,5100000,5200000,0,0.3013240968878208,5,5,31,31
lycopersicum_pimpinellifolium,lycopersicum,chr1,5200000,5300000,0,0.2711916871990387,3,3,25,22
lycopersicum_pimpinellifolium,lycopersicum,chr1,5300000,5400000,0,0.2440725184791349,10,10,34,34
lycopersicum_pimpinellifolium,lycopersicum,chr1,5400000,5500000,0,0.2196652666312214,4,4,17,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,5500000,5600000,0,0.1976987399680992,5,5,17,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,5600000,5700000,0,0.1779288659712893,6,6,25,25
lycopersicum_pimpinellifolium,lycopersicum,chr1,5700000,5800000,0,0.1601359793741604,7,7,40,39
lycopersicum_pimpinellifolium,lycopersicum,chr1,5800000,5900000,1,0.2441223814367444,5,5,22,22
lycopersicum_pimpinellifolium,lycopersicum,chr1,5900000,6000000,0,0.2197101432930699,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,6000000,6100000,0,0.1977391289637629,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6100000,6200000,0,0.1779652160673867,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6200000,6300000,0,0.160168694460648,3,3,19,18
lycopersicum_pimpinellifolium,lycopersicum,chr1,6300000,6400000,1,0.2441518250145832,6,6,29,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,6400000,6500000,0,0.2197366425131249,3,3,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,6500000,6600000,0,0.1977629782618124,2,2,15,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,6600000,6700000,0,0.1779866804356312,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,6700000,6800000,0,0.1601880123920681,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6800000,6900000,0,0.1441692111528613,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,6900000,7000000,0,0.1297522900375751,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,7000000,7100000,0,0.1167770610338176,4,4,16,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,7100000,7200000,0,0.1050993549304359,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,7200000,7300000,0,0.0945894194373923,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7300000,7400000,0,0.085130477493653,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7400000,7500000,0,0.0766174297442877,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7500000,7600000,0,0.068955686769859,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7600000,7700000,0,0.0620601180928731,3,3,29,29
lycopersicum_pimpinellifolium,lycopersicum,chr1,7700000,7800000,0,0.0558541062835858,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,7800000,7900000,0,0.0502686956552272,1,1,5,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,7900000,8000000,0,0.0452418260897045,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8000000,8100000,0,0.040717643480734,2,2,12,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,8100000,8200000,0,0.0366458791326606,6,6,17,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,8200000,8300000,1,0.1329812912193946,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,8300000,8400000,0,0.1196831620974551,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,8400000,8500000,0,0.1077148458877096,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8500000,8600000,0,0.0969433612989386,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,8600000,8700000,0,0.0872490251690448,3,3,15,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,8700000,8800000,0,0.0785241226521403,9,9,28,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,8800000,8900000,0,0.0706717103869262,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8900000,9000000,0,0.0636045393482336,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9000000,9100000,0,0.0572440854134102,2,2,4,4
