chr,corr,R^2,MSE
chr1,0.8252813559042175,0.6554486021708621,0.013219492980072417
chr2,0.7150208033712598,0.31281602388722207,0.01439568984100694
chr3,0.8463157599971267,0.6939185538974191,0.011667049329659299
chr4,0.7804463050711276,0.5723093682257134,0.018413302269430734
chr5,0.7710924829817515,0.5785446361084008,0.013841064987058721
chr6,0.6491632113600797,0.40987318705219133,0.021558682635958965
chr7,0.7936302497680067,0.6066456990691662,0.020315620286905013
chr8,0.8367581252978976,0.6915872447306133,0.01193351522637262
chr9,0.9029522215076234,0.7311353166060759,0.014947252137730443
chr10,0.8481679189287866,0.7012526555652447,0.012241900303063573
chr11,0.786446284765091,0.578682313180866,0.02056246042148254
chr12,0.8898029196468853,0.6569605455819689,0.026633700841601278
