cross,reference,chr,start,end,crossovers,scrossovers,Unknown,Simple_repeat,SINE/tRNA,DNA/TcMar-Stowaway,DNA/MULE-MuDR,LTR/Copia,SINE,DNA/PIF-Harbinger,Low_complexity,DNA/hAT-Tip100,DNA/hAT-Ac,LINE/RTE-BovB,DNA/TcMar,DNA/hAT-Tag1,SINE/tRNA-RTE,LTR/Gypsy,Retroposon,DNA/CMC-EnSpm,DNA,LINE/L1,rRNA,SINE?,DNA/TcMar-Pogo,SINE/tRNA-Deu-RTE,LTR,RC/Helitron,snRNA,DNA/hAT-Charlie,DNA/TcMar-Tc1,LTR/Caulimovirus,LTR/ERV1,Satellite
lycopersicum_pimpinellifolium,lycopersicum,chr1,0,100000,0,0.0,25,21,3,8,6,14,1,3,7,4,2,10,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,100000,200000,0,0.0,18,53,0,8,8,6,0,7,13,3,3,10,1,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,200000,300000,1,0.1,21,34,7,6,6,3,4,1,7,16,3,11,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,300000,400000,1,0.19,20,55,0,3,14,6,1,5,14,13,10,20,0,1,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,400000,500000,1,0.271,30,48,7,6,7,5,3,6,13,9,5,9,0,1,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,500000,600000,0,0.2439,21,28,2,3,7,0,0,2,5,4,0,8,1,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,600000,700000,0,0.21951,43,29,4,3,2,2,1,7,9,6,0,20,0,4,0,1,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,700000,800000,0,0.197559,14,38,6,4,6,8,0,4,8,3,5,6,1,3,0,13,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,800000,900000,0,0.1778031,25,26,7,10,6,3,2,2,17,1,1,25,0,2,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,900000,1000000,1,0.26002279,19,28,6,5,7,13,1,5,6,9,1,11,0,0,0,2,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1000000,1100000,0,0.234020511,30,38,6,18,9,12,3,3,14,1,2,9,2,2,6,2,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1100000,1200000,2,0.4106184599,73,47,0,10,17,7,4,1,7,17,0,10,0,2,1,4,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1200000,1300000,1,0.46955661391,40,26,3,9,12,14,1,1,10,6,2,18,3,1,1,1,4,5,4,3,0,0,0,1,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1300000,1400000,0,0.422600952519,50,52,4,6,13,7,4,4,14,12,1,16,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1400000,1500000,0,0.3803408572671,26,45,2,8,14,6,1,5,10,5,6,13,1,0,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1500000,1600000,1,0.44230677154039,38,55,4,6,8,1,1,4,8,7,7,15,2,0,1,0,1,0,4,3,0,0,0,0,2,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1600000,1700000,1,0.498076094386351,28,52,6,7,12,5,4,3,15,5,11,14,1,5,0,3,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1700000,1800000,2,0.6482684849477159,25,26,12,1,8,7,2,5,5,7,7,7,0,2,3,3,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1800000,1900000,3,0.8834416364529444,32,57,4,5,5,1,2,8,16,7,21,7,0,0,4,1,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1900000,2000000,1,0.89509747280765,28,49,7,6,13,0,1,5,8,4,0,12,0,2,1,1,0,1,14,5,0,1,0,0,0,0,1,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2000000,2100000,1,0.9055877255268848,43,60,3,3,23,9,3,9,11,13,11,9,0,3,3,1,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2100000,2200000,0,0.8150289529741964,25,34,6,12,10,4,1,18,8,22,6,15,1,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0
