chr,corr,R^2,MSE
chr1,0.8737292422262541,0.7408983976656536,0.007287632665542771
chr2,0.8240754242595487,0.45569234333693487,0.007491682783719349
chr3,0.8445666683168512,0.6896736386030222,0.007769933733580338
chr4,0.6833322461790512,0.4535588441971026,0.021203448164849314
chr5,0.8019097136540795,0.6239791217537026,0.008451869416923632
chr6,0.7601515602804237,0.5673165441186477,0.00954689535726989
chr7,0.8609378874619598,0.6965972964990954,0.010397887759291253
chr8,0.7886295177684888,0.6095008177029577,0.009622762279118943
chr9,0.92348693416009,0.7824740088701807,0.008004781495709887
chr10,0.8940486930800189,0.783575677045132,0.0058346033475396835
chr11,0.7755118814236651,0.509523777309882,0.014880805054070799
chr12,0.9421658661550234,0.7117080801967554,0.017272066496607435
