chr,corr,R^2,MSE
chr1,0.7149489370718065,0.5001635267975493,0.01917735580327158
chr2,0.6703353832419697,0.01093109717610119,0.0207198212580282
chr3,0.7325912676342328,0.5186972283618411,0.01834604237109554
chr4,0.7235450781015689,0.5029437436816016,0.021399690366218985
chr5,0.7334808322099122,0.5361131185548766,0.015234563426691598
chr6,0.6519525882753272,0.3534229354674764,0.023620939479629177
chr7,0.7405793475062488,0.5169747374899849,0.024946867998938096
chr8,0.7972938397257436,0.6230311989089252,0.014586176644213206
chr9,0.8841752426462453,0.6513674051657685,0.01938186612178995
chr10,0.821022162075112,0.6293080346518543,0.015190006430098211
chr11,0.6919912388903984,0.4605438834946677,0.02632822070327527
chr12,0.8682168633761799,0.5694312797983855,0.03342950304377046
