chr,corr,R^2,MSE
chr1,0.8346157394150362,0.6795377847466366,0.012295257054859161
chr2,0.74052109437485,0.4491123651520028,0.01154044303154145
chr3,0.8537977014936584,0.7034778241799415,0.011302674162977824
chr4,0.8022439515677914,0.6203417341959752,0.01634537183649783
chr5,0.8092286141150327,0.6520031915520692,0.01142860396066926
chr6,0.6957743637933785,0.48224336137654455,0.018914834591207026
chr7,0.8260766312088443,0.6337459908350156,0.01891596802461503
chr8,0.8719123675707819,0.7281609425557488,0.01050118279606411
chr9,0.9091906526273067,0.7373429933286357,0.014602142813626035
chr10,0.8888929615137612,0.7546951607639043,0.010051963445797786
chr11,0.8125387522798466,0.6316226602623762,0.017625874199487985
chr12,0.925628947947627,0.717084429462785,0.02196566188545998
